STEAM PLANT PRODUCTION							
January-06							
							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	435	376	0	"5,050"	"37,948"	0	0
2	511	436	0	"7,070"	"69,175"	0	0
3	497	419	0	"6,380"	"107,528"	10	0
4	527	452	0	"6,240"	"135,986"	0	0
5	563	493	0	"6,480"	"170,650"	10	0
6	563	483	0	"6,130"	"139,295"	0	0
7	496	429	0	"5,830"	"106,183"	0	0
8	499	427	0	"6,000"	"122,000"	0	0
9	590	514	0	"6,500"	"145,730"	10	0
10	601	522	0	"6,280"	"113,783"	0	0
11	519	499	0	"5,600"	"152,406"	0	0
12	485	414	0	"5,350"	"159,471"	0	0
13	545	475	0	"6,080"	"107,960"	10	0
14	537	469	0	"6,216"	"121,702"	0	0
15	478	412	0	"5,260"	"108,023"	10	0
16	552	470	0	"6,560"	"158,768"	0	0
17	635	541	0	"6,600"	"111,656"	10	0
18	612	528	0	"6,780"	"139,805"	0	0
19	568	491	0	"7,640"	"149,273"	10	0
20	567	490	0	"6,680"	"130,918"	10	0
21	566	438	0	"6,130"	"133,363"	0	0
22	596	524	0	"6,410"	"117,311"	10	0
23	631	552	0	"6,700"	"175,944"	10	0
24	522	457	0	"5,900"	"200,638"	0	0
25	621	550	0	"7,500"	"175,912"	10	0
26	467	412	0	"5,170"	"124,538"	10	0
27	467	410	0	"5,240"	"131,391"	10	0
28	437	378	0	"5,150"	"114,334"	10	0	
29	487	419	0	"6,020"	"131,477"	0	0	
30	523	454	0	"6,510"	"130,977"	20	0	
31	521	450	0	"6,730"	"136,625"	10	0	
TOTAL	"16,618"	"14,384"	0	"192,186"	"4,060,770"	170	0	
February-06								
								
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)	
1	534	461	0	"6,560"	"131,830"	10	0	
2	948	406	0	"6,100"	"131,691"	20	0	
3	"1,273"	515	0	"6,940"	"132,046"	0	0	
4	"1,382"	567	0	"8,000"	"127,489"	10	0	
5	"1,385"	611	0	"9,710"	"103,079"	20	0	
6	"1,388"	566	0	"6,040"	"151,566"	10	0
7	"1,320"	534	0	"7,710"	"134,123"	10	0
8	"1,352"	557	0	"7,090"	"117,490"	10	0
9	"1,404"	560	0	"6,780"	"144,575"	20	0
10	"1,216"	515	0	"6,460"	"134,615"	10	0
11	"1,168"	503	0	"6,060"	"126,729"	10	0
12	"1,350"	566	0	"6,760"	"128,323"	0	0
13	"1,369"	554	0	"6,800"	"140,014"	30	0
14	"1,152"	482	0	"5,720"	"121,944"	0	0
15	"1,410"	566	0	"5,840"	"145,259"	30	0
16	"1,566"	609	0	"7,300"	"134,103"	20	0
17	547	780	"4,699"	"10,640"	"139,116"	10	0
18	1	731	"5,825"	"10,130"	"138,563"	10	0
19	990	641	"1,992"	"7,830"	"98,426"	0	0
20	"1,457"	576	0	"6,930"	"156,272"	10	0
21	"1,444"	564	7	"5,960"	"121,273"	10	0
22	"1,138"	468	0	"5,990"	"135,877"	0	0
23	"1,275"	516	0	"6,960"	"143,687"	10	0
24	"1,136"	474	0	"6,260"	"130,032"	0	0
25	"1,266"	510	0	"6,860"	"111,489"	20	0
26	"1,152"	496	0	"6,450"	"126,928"	0	0
27	"1,235"	487	0	"7,840"	"152,572"	10	0
28	"1,120"	478	289	"7,120"	"148,815"	0	0
29							
							
							
TOTAL	"32,978"	"15,293"	"12,812"	"198,840"	"3,707,926"	290	0
March-06							
							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	902	446	576	"7,360"	"145,608"	10	0
2	"1,075"	465	0	"6,030"	"115,813"	10	0
